devstage,region,max_pathlength,crosssection
0hAPF,DV,69.83708253610942,Along_DV
0hAPF,outDV,61.545143173990596,Across_DV
2hAPF,DV,63.1442450828931,Along_DV
2hAPF,outDV,76.98903696717275,Across_DV
4hAPF,DV,75.4664094675599,Along_DV
4hAPF,outDV,83.60043458848976,Across_DV
6hAPF,DV,102.356118327658,Along_DV
6hAPF,outDV,77.8813962640314,Across_DV
96hAEL,DV,38.21508790794817,Along_DV
96hAEL,outDV,38.47457632505081,Across_DV
wL3,DV,63.67047229193704,Along_DV
wL3,outDV,61.20649477686364,Across_DV
