arclength,x,y,curvature,x_scaled,y_scaled,arclength_scaled,curvature_scaled
-0.905462682808342,0.7999554614350499,0.6992361527989817,0.8913875881630281,59.915864101909186,-31.67261540444369,-70.31823194689584,0.011478078652627198
-0.8831193863427433,0.7875308886074116,0.7178635528172022,0.8973901753782028,58.9509717761148,-30.226011519028688,-68.58305154337745,0.011555371817901143
-0.8607760898771446,0.7746808742454314,0.7363118923885826,0.9184471942663225,57.953039660763416,-28.793313467915276,-66.84787113985905,0.011826515506906034
-0.8384327934115459,0.7614184286352511,0.7545361866908575,0.9511796156859709,56.923078134676814,-27.37801477240061,-65.11269073634065,0.012247999171851286
-0.8160894969459471,0.7477584773042293,0.7724841737708175,0.9907786034671985,55.86224631430966,-25.984174095770925,-63.377510332822254,0.012757901152037066
-0.7937462004803484,0.7337158054379047,0.7901041165424034,1.0306752470417582,54.77169241717089,-24.61580934012956,-61.642329929303855,0.01327163593924489
-0.7714029040147496,0.719303041077513,0.8073524577490321,1.0642202168337014,53.65239713694287,-23.276303162022778,-59.90714952578546,0.013703582498502466
-0.7490596075491509,0.7045293505290756,0.8241987745888169,1.0893999272337493,52.50507232895122,-21.968018196245083,-58.17196912226706,0.014027812609242202
-0.7267163110835523,0.6894005758083072,0.8406252658874235,1.1054827437500105,51.330171684136346,-20.692336881995303,-56.436788718748666,0.014234905276204102
-0.7043730146179535,0.6739198229882555,0.8566245296814846,1.1123079750951355,50.12793642013113,-19.44983405574851,-54.70160831523027,0.014322791335245113
-0.6820297181523548,0.6580880623096901,0.8721972962037684,1.110422528570029,48.89844188583374,-18.24045300762795,-52.96642791171187,0.014298513115761385
-0.6596864216867562,0.6419047282914914,0.8873501608683488,1.101149995854452,47.64164416598043,-17.06368153777663,-51.23124750819348,0.014179114033665362
-0.6373431252211574,0.625368319841038,0.9020933172557747,1.0865841767012927,46.357426685718224,-15.918728012729147,-49.496067104675085,0.01399155519831693
-0.6149998287555587,0.6084770003645958,0.9164382900982405,1.0695141844609586,45.045646815177726,-14.804697421783246,-47.760886701156686,0.013771751023190299
-0.59265653228996,0.5912291978777069,0.9303956682647543,1.0533032097294666,43.706182474045924,-13.72076743337179,-46.02570629763829,0.013563008108800755
-0.5703132358243612,0.5736242051155773,0.9439728377463099,1.0417536722248166,42.33897873613895,-12.666364451434177,-44.29052589411989,0.013414288851723109
-0.5479699393587625,0.5556627796434658,0.9571717146410539,1.0389956345729752,40.94409443397476,-11.641339671788359,-42.55534549060149,0.013378774588887138
-0.5256266428931637,0.5373477439610406,0.9699864781694244,1.0494180941466233,39.52174876287762,-10.646145136175107,-40.8201650870831,0.013512980867198343
-0.5032833464275651,0.5186845624746768,0.9824014186314171,1.0755697640359139,38.07236608864661,-9.68200085989676,-39.084984683564706,0.013849726552097784
-0.4809400499619664,0.49968160968289893,0.9943903197111703,1.1157303839834152,36.596596774837145,-8.750942802043113,-37.34980428004631,0.014366860468496204
-0.45859675349636764,0.4803499377687229,1.0059183282051152,1.1673900142786917,35.09529913398223,-7.855677662403366,-35.61462387652791,0.015032063021873446
-0.4362534570307689,0.46070292075428576,1.016944437106316,1.2277334528967898,33.569511792641045,-6.999390045136096,-33.87944347300951,0.01580908386423886
-0.41391016056517016,0.4407558965975551,1.027423978914487,1.293568921166326,32.02042589662934,-6.185548828313543,-32.14426306949111,0.01665682360502609
-0.39156686409957153,0.42052580928904415,1.0373111189460185,1.3612210357026293,30.44935731625038,-5.41771353346482,-30.409082665972726,0.017527955649016602
-0.3692235676339728,0.4000308509485223,1.0465613486439946,1.4264224750858452,28.85771885152546,-4.699340695119986,-28.673902262454327,0.018367531226961695
-0.34688027116837405,0.3792901039217297,1.055133978888218,1.4842399554718955,27.24699243742474,-4.03359023035361,-26.938721858935928,0.019112026210042436
-0.3245369747027753,0.35832318287708764,1.0629946333052296,1.5290693783625986,25.61870134909784,-3.4231318083284776,-25.20354145541753,0.019689278629443713
-0.3021936782371766,0.33714987690241244,1.0701177415783314,1.5547284847107794,23.974382407104564,-2.8699512198393933,-23.468361051899134,0.02001968175007442
-0.27985038177157795,0.31578979160162746,1.0764890327576064,1.5546592713629366,22.315558182645603,-2.375156746856888,-21.733180648380742,0.02001879051458842
-0.2575070853059792,0.2942619912105295,1.0821080283044984,1.5223066406925005,20.643709204272934,-1.9387855526852604,-19.998000244862343,0.019602197279069027
-0.23516378884038047,0.2725846558388116,1.0869903244107464,1.4556007559045188,18.960247339305322,-1.5596264370740442,-18.262819841343948,0.018743249496581495
-0.21282049237478173,0.2507748887798637,1.0911677837055525,1.3594604529166257,17.266500829507432,-1.2352049482393994,-16.52763943782555,0.01750528525517159
-0.190477195909183,0.22884871916397453,1.0946860056109777,1.240232554883289,15.563714497137479,-0.9619798350640707,-14.79245903430715,0.015970030322988528
-0.16813389944358437,0.20682114226813048,1.0976012720988895,1.104812049522677,13.853052875406227,-0.7355802396128439,-13.057278630788762,0.014226268986900296
-0.14579060297798563,0.18470616019308522,1.0999774883313962,0.9602477564351171,12.135603367458215,-0.5510432869963751,-11.322098227270363,0.012364766371814538
-0.12344730651238689,0.1625168225404315,1.1018831233012851,0.8134488268667514,10.412379405353127,-0.40305167523480634,-9.586917823751966,0.010474489143275192
-0.10110401004678815,0.14026526708967121,1.103388150472456,0.671025132823082,8.684323609047082,-0.28617126512166635,-7.851737420233567,0.008640550255254726
-0.07876071358118941,0.11796276047528596,1.1045609884203555,0.5392524014868989,6.952310945373924,-0.19508867008779873,-6.116557016715169,0.006943759998543638
-0.05641741711559067,0.09561973886380792,1.105465441472416,0.424127622153059,5.217151887026539,-0.1248488460647792,-4.381376613196771,0.005461339456001275
-0.034074120649991935,0.0732458486308904,1.1061576403484894,0.3314724082882663,3.4795955715381637,-0.07109268134891522,-2.6461962096783735,0.004268251458772423
-0.011730824184393196,0.050849987038378314,1.1066829828012825,0.2670472634143172,1.7403329602636757,-0.03029458646500416,-0.9110158061599756,0.003438671947132594
0.010612472281205543,0.028440342945361633,1.107073075338818,0.23646104995883038,0.0,0.0,0.8241645973584224,0.003044824233309688
0.03295576874680406,0.006024447128990128,1.1073429809273392,0.24048358607211784,-1.7408184690994108,0.020960868004550548,2.559345000876803,0.003096620989854724
0.0552990652124028,-0.016390705221209705,1.1074907647408794,0.2747470353681269,-3.48157920061593,0.032437758964078967,4.294525404395201,0.003537819152306553
