x[0],x[1],x[2]
0.11954824151653164,-0.5723572154914576,0.6841896197876507
0.0959668020216625,0.3642413203194745,0.8173852417811696
0.19889316850322308,-0.6541012359741567,0.5853145142740177
0.18281272023617173,-0.6385775638213599,0.607287579573161
0.16700677094600969,-0.6227836198169234,0.6278927466900037
0.1515240509063454,-0.6068173200914637,0.647157787586571
0.1357934275212224,-0.5901098306762631,0.6658307088001203
0.14846072646405742,-0.5635548184107748,0.6858318885439514
0.1765593071410294,-0.5543348185430427,0.6866874980751663
0.2043159273772739,-0.5445708049841584,0.6868024753732839
0.23275873385414075,-0.5338735531066202,0.6861504216335731
0.2618104243121009,-0.5222050434823351,0.6846584508228393
0.2913775379656568,-0.5095350390906342,0.6822559448681836
0.3213509583881905,-0.49584278357250566,0.6788766423453241
0.35160661824513595,-0.4811187818199808,0.6744608986340698
0.38200680274535515,-0.4653664556889177,0.66895804395777
0.4124021398211589,-0.44860354009524683,0.6623287241883306
0.4426342673049425,-0.43086310197688293,0.6545470897974224
0.4725390485862945,-0.41219411645321125,0.6456027090421139
0.5019497688290544,-0.39266184104236623,0.6355022487463583
0.5289953722568559,-0.37358823469600705,0.6249765811832885
0.554792974757515,-0.3543125310321772,0.6137323402862848
0.57979366030059,-0.3345278849752187,0.6016065206172978
0.6043916671880372,-0.31389114757887077,0.5883732319754906
-0.20887697043083564,0.6332776451864187,0.604425210700861
-0.18699667210558024,0.6182005678057871,0.6267856911146269
-0.16355779951108118,0.6012569644042138,0.6494142814679417
-0.140074774302565,0.5834887941931809,0.6707606761394658
-0.11666712034593826,0.5650127048209816,0.6907600353386585
-0.0934480315336414,0.5459504616981405,0.7093698321567353
-0.07052255721210218,0.5264259750736319,0.7265688279110534
-0.0479858351597842,0.506562218541895,0.7423557626703867
-0.025921784723877142,0.4864784279350179,0.756747514188585
-0.004402318223880959,0.4662877230790727,0.7697768370768179
0.016512958001209412,0.44609521420856674,0.7814898477128562
0.03677664542759924,0.425996576910184,0.7919434290477434
