disc,arclength,x,y,curvature,devstage,genotype,crosssection
20201013_ecadGFPnbG4_upcrawling_disc3,-143.81906739964955,101.1645527372884,-93.95562523009663,-0.01886644787634216,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-138.70380587825986,99.30958589676699,-89.26079407019495,-0.0019253750399496911,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-133.58854435687013,97.48424050928895,-84.4605096383858,0.006933718938699478,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-128.47328283548043,95.48626280588387,-79.69504397070054,0.01073289892039953,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-123.3580213140907,93.23291172296737,-75.04308086535737,0.011275114784172754,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-118.242759792701,90.72168448865011,-70.53834183453576,0.010076808448205783,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-113.12749827131128,87.99107956059295,-66.1861984770343,0.008580284743361493,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-108.01223674992158,85.08520477382443,-61.97888692882442,0.007338437339527008,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-102.89697522853186,82.03836669001832,-57.903458168483766,0.0063112856550187595,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-97.78171370714216,78.87503287458351,-53.944139510625675,0.005472483966958668,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-92.66645218575243,75.61134673807322,-50.08413166617672,0.004814222752877093,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-87.55119066436274,72.25664434985337,-46.30740508564142,0.0043405309505294976,wL3,ecadGFPnbG4,Along_DV
20201013_ecadGFPnbG4_upcrawling_disc3,-82.43592914297302,68.81497125177073,-42.60049630236691,0.004061907550055235,wL3,ecadGFPnbG4,Along_DV
