genotype,devstage,arclength,x,y,x_sd,y_sd,curvature,curvature_sd,crosssection
ecadGFPnbG4,wL3,-315.11627388179124,227.2399922668741,-186.89223893935892,8.848655389662367,15.477650316690509,-0.006099328084747929,0.022016638641437533,Along_DV
ecadGFPnbG4,wL3,-308.5500602945471,224.69061945952754,-181.48306835324135,7.273597815497494,14.487193065452825,-0.015816636716439552,0.04504928806947707,Along_DV
ecadGFPnbG4,wL3,-301.98384670730303,222.46146265151967,-175.59657610339377,6.820703469299252,14.18399200492527,-0.006680430081069908,0.0256488757974339,Along_DV
ecadGFPnbG4,wL3,-295.4176331200589,220.34457211504846,-169.4458405951926,6.982002215270186,14.226169637797561,0.0007641903855093735,0.00948807161971059,Along_DV
ecadGFPnbG4,wL3,-288.85141953281476,218.18562104219677,-163.19433732824436,7.420884938447053,14.441716422551599,0.003742581004659314,0.003095955522009721,Along_DV
ecadGFPnbG4,wL3,-282.2852059455707,215.8770864568693,-156.9622753918288,7.923896095744166,14.721812298965625,0.005287950303929609,0.0021378393643807668,Along_DV
ecadGFPnbG4,wL3,-275.71899235832655,213.35133500000575,-150.83247889340387,8.352854339552836,14.982534784562727,0.006388529720484744,0.004644167767916504,Along_DV
ecadGFPnbG4,wL3,-269.1527787710824,210.5737153092405,-144.8560966958554,8.62540178417086,15.162532960635984,0.007174033950078409,0.006918630209367547,Along_DV
ecadGFPnbG4,wL3,-262.58656518383833,207.53569921003452,-139.05828571863765,8.706902987750384,15.22840356799569,0.0074030404952349005,0.008005110907540936,Along_DV
ecadGFPnbG4,wL3,-256.0203515965942,204.2483885618095,-133.44375323425513,8.602656118520429,15.17578671481861,0.0069100638982219345,0.007444293640936272,Along_DV
ecadGFPnbG4,wL3,-249.45413800935006,200.73641083383765,-128.0021493447469,8.347877176902035,15.024355084508686,0.005911109774616973,0.005675627858192493,Along_DV
ecadGFPnbG4,wL3,-242.88792442210595,197.03203454588734,-122.71337825155369,7.995678387379406,14.808535493588264,0.0047878321963144834,0.0035809910252960608,Along_DV
ecadGFPnbG4,wL3,-236.32171083486185,193.16983913001266,-117.55270795967364,7.6034760037279,14.56637173963819,0.0038043062222912604,0.0019062878375178604,Along_DV
ecadGFPnbG4,wL3,-229.7554972476177,189.18172587843185,-112.49572797047239,7.219686931853549,14.329381756631294,0.0030627642953618625,0.0013963369551573351,Along_DV
ecadGFPnbG4,wL3,-223.1892836603736,185.09322387757098,-107.52211319032351,6.875029497644172,14.116714065644574,0.002520093935058294,0.001955301148644691,Along_DV
ecadGFPnbG4,wL3,-216.6230700731295,180.92302430117414,-102.6163871898779,6.581646710475914,13.93505998433375,0.002128199241264279,0.002661228241404592,Along_DV
ecadGFPnbG4,wL3,-210.05685648588536,176.68378072153442,-97.76750874262058,6.336563968420026,13.781240312307759,0.0018630132005840478,0.003235945930082847,Along_DV
ecadGFPnbG4,wL3,-203.49064289864125,172.38295776101234,-92.96841343267909,6.127095252098216,13.645567703728187,0.0017148867481904743,0.0036185971614912985,Along_DV
ecadGFPnbG4,wL3,-196.92442931139715,168.02367900922596,-88.21555486114637,5.936691322569974,13.515222963840943,0.0016783273181750083,0.003786384712739415,Along_DV
ecadGFPnbG4,wL3,-190.358215724153,163.60557047105746,-83.50844435065231,5.749713684358244,13.377082336181976,0.0017440661481007726,0.0037391136630051027,Along_DV
ecadGFPnbG4,wL3,-183.7920021369089,159.12559541385593,-78.84921802502168,5.554365861867915,13.219681412499224,0.0018968965811765259,0.0035029266227603584,Along_DV
ecadGFPnbG4,wL3,-177.2257885496648,154.57883301063507,-74.24226257313542,5.343749259560831,13.03429511217765,0.002114587605602149,0.0031253074117945745,Along_DV
ecadGFPnbG4,wL3,-170.65957496242066,149.9592165585471,-69.69385881133044,5.115519434045607,12.815305128075437,0.0023715982580772006,0.0026649129772476935,Along_DV
ecadGFPnbG4,wL3,-164.09336137517656,145.2602232962458,-65.21180977198948,4.870804997064043,12.56006038917997,0.0026430364483960877,0.0021812788575945223,Along_DV
ecadGFPnbG4,wL3,-157.52714778793245,140.4755234603952,-60.805043590471506,4.612886295539389,12.268426034091279,0.002906616074861783,0.0017278986858791398,Along_DV
ecadGFPnbG4,wL3,-150.9609342006883,135.59960338954426,-56.48317796629334,4.3459716492950236,11.942164148801924,0.0031469320440474097,0.0013431167346603548,Along_DV
ecadGFPnbG4,wL3,-144.3947206134442,130.6282218171692,-52.256143899434534,4.074303538056717,11.584301890666012,0.003363754473323282,0.001036770408788825,Along_DV
ecadGFPnbG4,wL3,-137.8285070262001,125.55846556684207,-48.13400572742845,3.801663617001919,11.19859408831836,0.0035608591881229577,0.000815744941309485,Along_DV
ecadGFPnbG4,wL3,-131.26229343895596,120.38864901740884,-44.12685817857613,3.531151357435835,10.789088563360705,0.0037419561480096625,0.000689383372258586,Along_DV
