disc,arclength,x,y,curvature,devstage,genotype,crosssection
20201013_ecadGFPnbG4_upcrawling_disc4,-136.03562528782913,123.5041173848742,-37.36875608290954,0.013188644429918203,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-130.6791485333,120.24460510808048,-33.333979560143355,0.012946428886683252,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-125.32267177877091,116.71285462494768,-29.517646280333928,0.01254283885505594,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-119.96619502424181,112.92444862125198,-25.92560910043652,0.012024252174479354,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-114.60971826971272,108.89757609490884,-22.562017776280545,0.011435826204279057,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-109.25324151518362,104.65245525032672,-19.4294225130457,0.01081718231163984,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-103.89676476065449,100.21075639276096,-16.528877515738216,0.010200056850846588,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-98.5402880061254,95.5950248226673,-13.860044539666939,0.009607674846444224,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-93.1838112515963,90.82810373005574,-11.421296440919477,0.009055289075809866,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-87.8273344970672,85.93255708884423,-9.209820726838391,0.008551300683521487,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-82.4708577425381,80.93009255121241,-7.221723106497323,0.008098508805538047,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-77.11438098800897,75.84098434195519,-5.452131041177144,0.007695211509724052,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-71.75790423347988,70.68350170610081,-3.895297413000432,0.007335093315372744,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-66.40142747895078,65.47349670984013,-2.5447075841686484,0.007006454834465127,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-61.04495072442168,60.22442195791936,-1.3931956036463844,0.0066987612506834845,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-55.688473969892584,54.94752824690479,-0.4330642423889835,0.006404016460246454,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-50.33199721536346,49.65206983489674,0.3437948093726197,0.006116502600606356,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-44.97552046083436,44.34550971124302,0.9457807448470384,0.005832573690269489,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-39.61904370630526,39.03372486625263,1.3814634433976316,0.005550473058478149,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-34.262566951776165,33.721211560909566,1.6594632732576313,0.005270152988790141,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-28.906090197247067,28.411290596586383,1.7883308942453104,0.00499308422563792,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-23.54961344271797,23.106312584758037,1.7764270604791461,0.004722051699006838,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-18.193136688188844,17.807863216715404,1.6318024230929677,0.0044609402299558894,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-12.836659933659746,12.516968533279274,1.3620773329511324,0.0042145195570585,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-7.480183179130677,7.2343001945137155,0.9743216433636678,0.003988241560979675,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,-2.1237064246015507,1.9603807494398675,0.4749345128014309,0.003788064181809595,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,3.2327703299275754,-3.3042112228858405,-0.13047573022134604,0.003620163546970282,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,8.589247084456645,-8.558652232364539,-0.8372038640580651,0.0034886307035810918,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,13.94572383898577,-13.801776908146849,-1.641515631724609,0.003395601262312842,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,19.30220059351484,-19.032057056823113,-2.540678855746421,0.0033428895638567746,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,24.658677348043966,-24.247589158136005,-3.532990475299704,0.0033321301922521686,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,30.015154102573092,-29.446081876430675,-4.617803575746419,0.003364853437565635,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,35.37163085710216,-34.624843572105476,-5.795554418169372,0.003442533304133453,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,40.72810761163129,-39.78076981306272,-7.067789468907329,0.003566604065874463,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,46.08458436616036,-44.91033088615878,-8.43719242908997,0.0037384394130994384,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,51.44106112068948,-50.00955930865515,-9.907611264173077,0.00395928560973398,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,56.79753787521861,-55.07403733966861,-11.48408523347349,0.004230137032793391,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,62.15401462974768,-60.09888449162186,-13.17287191970421,0.004551539451237359,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,67.5104913842768,-65.07874504105091,-14.981474257206854,0.004923287101981382,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,72.86696813880587,-70.00777080614222,-16.91865797741912,0.005340691493480305,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,78.223444893335,-74.87953471458592,-18.99432893552695,0.005791148598424137,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,83.57992164786413,-79.68682464978639,-21.219168054063193,0.006261920543353633,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,88.9363984023932,-84.42140561993251,-23.604202134391308,0.006741782067743396,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,94.29287515692232,-89.07378132020473,-26.160373439561653,0.007221711496297023,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,99.64935191145139,-93.63295569498185,-28.898109277167528,0.007695647499984365,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,105.00582866598052,-98.08619450004842,-31.826891582201604,0.008161244224743415,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,110.36230542050964,-102.4187868648015,-34.95482649991188,0.00862056781478253,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,115.71878217503871,-106.61380685445785,-38.288213968658056,0.009080704813547103,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,121.07525892956784,-110.65187503226105,-41.83111730276777,0.009554295701078805,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,126.4317356840969,-114.5109200216883,-45.58493277539262,0.010060057479372426,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,131.78821243862603,-118.16594006865796,-49.547959201364684,0.010623405189686439,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,137.14468919315516,-121.5887701597971,-53.71497027492526,0.011274256902711676,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,142.50116594768423,-124.74813424290967,-58.076928270248565,0.012022297729861383,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,147.85764270221335,-127.61076546265615,-62.621227298085635,0.012852410544974472,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,153.21411945674242,-130.1431387456632,-67.33224018485176,0.01372725670442348,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,158.57059621127155,-132.31324477879937,-72.19188587577057,0.01458363357080875,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,163.92707296580068,-134.09236399258407,-77.180196840563,0.01533174991296123,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,169.28354972032975,-135.45684054459733,-82.27588647913694,0.015860993445307954,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,174.64002647485887,-136.38985630288914,-87.45691652727676,0.016054623001936528,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,179.99650322938794,-136.88320482938903,-92.7010644623323,0.015811745196094747,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,185.35297998391707,-136.93906536331497,-97.98649090890859,0.015069023438429485,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,190.70945673844614,-136.5717768045835,-103.292307044555,0.013810998404320889,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,196.06593349297526,-135.80961169721866,-108.59914200545496,0.012060862414565816,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,201.4224102475044,-134.69654934442423,-113.88971028547994,0.009855518415535622,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,206.77888700203346,-133.29360163645472,-119.14937571753016,0.007335080723792991,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,212.13536375656258,-131.67615027436523,-124.36668497801789,0.00473123517249303,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,217.49184051109165,-129.92650095225025,-129.53386454421002,0.0022087367845592576,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,222.84831726562078,-128.12559935742635,-134.64731124703698,-8.835923537429335e-05,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,228.2047940201499,-126.34474069660651,-139.70808277443223,-0.001968986876628585,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,233.56127077467897,-124.6372792220752,-144.7223881746729,-0.0031428629298186628,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,238.9177475292081,-123.03033775786295,-149.70207835972033,-0.003215244930377504,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,244.27422428373717,-121.51651722592118,-154.66513660855978,-0.00176428308142888,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,249.63070103826624,-120.0456061722968,-159.63616907054126,0.0014847407000921492,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,254.98717779279536,-118.51629029330715,-164.64689526871962,0.006411733700405462,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,260.3436545473245,-116.7678619617146,-169.73663860319468,0.01222555235224591,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc4,265.7001313018536,-114.57192975290128,-174.95281685445184,0.017304338773745535,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-264.5910673965276,141.13405266013928,-151.3838132153147,0.008171411660357553,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-259.23459064199847,143.44850389556456,-146.49051567423467,0.008379596550559485,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-253.8781138874694,145.52679737784516,-141.52727812919747,0.00863632003664284,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-248.52163713294027,147.36100300187286,-136.5058494674685,0.008925821346999242,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-243.16516037841117,148.94379157230026,-131.43675326175844,0.009231519021771965,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-237.80868362388208,150.26849429865226,-126.32947288163433,0.009536112018671931,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-232.45220686935298,151.32916229043758,-121.19263660493152,0.009822064414038866,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-227.09573011482388,152.12062605226004,-116.03420272916489,0.010072456253451543,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-221.73925336029475,152.63855497893073,-110.86164468294076,0.010272115747318409,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-216.38277660576566,152.87951685057885,-105.68213613736842,0.010408874256065626,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-211.02629985123656,152.84103732776347,-100.5027361174713,0.01047473029690092,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-205.66982309670746,152.5216594465851,-95.33057411359914,0.010466698368088131,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-200.31334634217836,151.92100311379716,-90.17303519283908,0.010387167663635273,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-194.95686958764924,151.03982460191764,-85.03794511042756,0.010243698068813934,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-189.60039283312017,149.88007604434026,-79.93375542116169,0.010048307334337725,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-184.24391607859104,148.44496493032136,-74.86972859055778,0.009816415833752501,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-178.88743932406194,146.73901048013187,-69.85611678745315,0.009565952598518685,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-173.53096256953285,144.76804776079038,-64.90423483634378,0.009314918133357067,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-168.17448581500372,142.53913242074935,-60.026331894690145,0.00907796082073123,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-162.81800906047465,140.0604163306315,-55.235404206657016,0.00886617412713753,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-157.46153230594552,137.34102254984606,-50.5450064915663,0.008687472631403752,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-152.10505555141643,134.39092029320446,-45.96906333235057,0.008547050887669995,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-146.74857879688733,131.2207998975369,-41.521680564006324,0.008447822438368535,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-141.3921020423582,127.84194778830785,-37.21695666204698,0.008390775192370421,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-136.03562528782913,124.26612144623269,-33.06879413095656,0.008375210390163106,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-130.6791485333,120.50542437389336,-29.090710892642516,0.008398854827056495,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-125.32267177877091,116.57218106235474,-25.295651674889353,0.008457852096359736,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-119.96619502424181,112.47881195778062,-21.69579939981166,0.008546651504847458,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-114.60971826971272,108.23770842804959,-18.302386572307423,0.008657825892863997,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-109.25324151518362,103.86110772937137,-15.125506668511353,0.00878186365268579,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-103.89676476065449,99.36096797290283,-12.173925524248041,0.008906995759648153,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-98.5402880061254,94.74884309136404,-9.454892723485349,0.00901913310486178,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-93.1838112515963,90.03575780565426,-6.973952986787532,0.009101997476503589,wL3,ecadGFPnbG4,Across_DV
20201013_ecadGFPnbG4_upcrawling_disc5,-87.8273344970672,85.23208338028512,-4.73475914605215,0.009138607184188175,wL3,ecadGFPnbG4,Across_DV
