genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4,wL3,-120.7593631597752,48.9261938740128,-79.35423650909864,2.106782399222638,2.666582135095112,1.4897201209747915,1.885558310316656,-0.06549971395099768,0.0007873494866822081,0.0005567401611967366,Across_DV
ecadGFPnbG4,wL3,-115.60362275017475,51.88216290181951,-75.1955780735646,2.3204225918006607,2.30266927793555,1.640786549880711,1.6282330612581581,-0.010737835890085014,0.010479277826718831,0.007409968413210712,Across_DV
ecadGFPnbG4,wL3,-110.4478823405743,55.13120429082295,-71.23184979528902,2.4271878994103844,2.2448953651745995,1.7162810228870145,1.5873807357692102,0.021661591193141316,0.005461507905975882,0.003861869275819487,Across_DV
ecadGFPnbG4,wL3,-105.29214193097386,57.945637734732756,-66.96696720928037,2.427904076527984,2.305875894323144,1.7167874365833997,1.6305004814504898,0.035380647212753566,0.001791271283903051,0.0012666200717925805,Across_DV
ecadGFPnbG4,wL3,-100.1364015213734,59.978125507997035,-62.26107306915541,2.3579219949292742,2.3760065401370767,1.667302632123402,1.6800903366745137,0.0355738356177931,9.951798880122875e-06,7.036984473139574e-06,Across_DV
ecadGFPnbG4,wL3,-94.98066111177295,61.142857702661715,-57.204298348940405,2.2620925759913106,2.408729600281646,1.5995410001552013,1.7032290344039138,0.030309967146650633,0.00044561295776838,0.0003150959442226161,Across_DV
ecadGFPnbG4,wL3,-89.8249207021725,61.497119450923755,-51.99083900266007,2.1701236589356583,2.4054847710725227,1.5345091552467662,1.7009345936663505,0.026105878031887814,0.00011078025068248301,7.83334664791294e-05,Across_DV
ecadGFPnbG4,wL3,-84.66918029257205,61.137075359017146,-46.80551416445324,2.084599927425778,2.3909231853663933,1.4740347447437523,1.6906379976687174,0.0240133533883138,0.00013838246242118754,9.785117757531428e-05,Across_DV
ecadGFPnbG4,wL3,-79.5134398829716,60.147775449821204,-41.76762866073887,1.996641782224792,2.3777631159745027,1.4118389438115442,1.681332423360826,0.02279387158141296,0.00047655099359268475,0.0003369724391505743,Across_DV
ecadGFPnbG4,wL3,-74.35769947337114,58.59808708875177,-36.93605858083524,1.8952088144806396,2.360987803170719,1.3401150044837777,1.669470485920745,0.021542301660144994,0.0010258967450532657,0.0007254185452243709,Across_DV
ecadGFPnbG4,wL3,-69.20195906377069,56.544226554665656,-32.32860458577987,1.7697613357911024,2.324692860755679,1.251410241619651,1.6438060860162949,0.01989991065804328,0.0016773576945723467,0.0011860710003075401,Across_DV
ecadGFPnbG4,wL3,-64.04621865417025,54.033472131270116,-27.941665786092013,1.6127403968580367,2.2492542435466056,1.1403796709118015,1.5904629282244231,0.018046110140761632,0.002168645969891723,0.0015334642713033145,Across_DV
ecadGFPnbG4,wL3,-58.89047824456979,51.10786532865531,-23.769891578355818,1.422035910622828,2.118517525702723,1.0055312354921888,1.4980181084869413,0.016527327814779072,0.00221977755031703,0.0015696197585548344,Across_DV
