arclength,x,y,curvature
-306.26611235049944,122.33443653242217,-131.03726839175084,0.142720054694973
-300.0789181616005,123.09350363624236,-127.0663882560718,0.10038797291521122
-293.8917239727015,122.02572630282728,-122.63853822873436,0.039111181898587005
-287.7045297838025,119.75559425696817,-117.79290546684011,0.013683587132425047
-281.5173355949035,116.77615070989081,-112.58824632517181,0.0034069140984732266
-275.33014140600454,113.46276356001503,-107.09863931823209,-0.0013176136875508978
-269.1429472171056,110.0868965937144,-101.4092380822822,-0.0036667498340084456
-262.9557530282066,106.82988068607574,-95.61202433738023,-0.004735460826688721
-256.7685588393076,103.79668500165918,-89.80156084942018,-0.004907711497042717
-250.58136465040866,101.0296881952573,-84.07074439217067,-0.004298614562934997
-244.39417046150965,98.52244961265522,-78.50655870931288,-0.002916319171115316
-238.20697627261066,96.2334804913899,-73.18582747648014,-0.0007418367322195463
-232.0197820837117,94.10001516151011,-68.17096726329595,0.0021859493608801937
-225.83258789481272,92.05177064222829,-63.505746705537405,0.005643858443599025
-219.64539370591373,90.02339713556576,-59.2117462648022,0.00940966201516029
-213.45819951701478,87.95986127314717,-55.2886001388583,0.013210238137435671
-207.2710053281158,85.81620949184004,-51.71724573631988,0.016475081869828347
-201.0838111392168,83.55673879040549,-48.463490300896495,0.018453838688804965
-194.89661695031785,81.1541665838136,-45.48157801854052,0.018565139585321244
-188.70942276141886,78.58880055755866,-42.71775712459538,0.016767184741888184
-182.52222857251988,75.84770852197458,-40.11384701094286,0.01361448069384979
-176.33503438362092,72.92388826655032,-37.61080533315129,0.009948727981689548
-170.1478401947219,69.81543741424504,-35.15229511762317,0.006520010240443013
-163.96064600582292,66.5247232758036,-32.68825186874315,0.003796968680903597
-157.77345181692397,63.05755270407184,-30.178450676025477,0.0019762507613406304
-151.58625762802498,59.4223419526833,-27.596073269392292,0.0010797339541682963
-145.399063439126,55.62930016937053,-24.931113291127588,0.000980640612152621
-139.21186925022704,51.68978912083834,-22.191690470405888,0.0014383041272595172
-133.02467506132805,47.61596205367416,-19.40205267461016,0.0022856569439359954
-126.83748087242907,43.420469652997106,-16.599781804119317,0.003432894490053914
-120.65028668353007,39.116167063375364,-13.832987082622964,0.004845643708576447
-114.46309249463111,34.71582090974312,-11.157498347436842,0.006524198014046424
-108.27589830573213,30.231816318317826,-8.634059339818151,0.008482685902193877
-102.08870411683314,25.67586393751743,-6.3255209952804705,0.010723636830999304
-95.90150992793419,21.058706958877423,-4.294034733909513,0.013202893017731752
-89.7143157390352,16.389828137968017,-2.598245750677762,0.015784431844918904
-83.5271215501362,11.677156815311394,-1.2904863057601688,0.018198892475441705
-77.33992736123724,6.926775937298796,-0.4139690148493287,0.020042588124550852
-71.15273317233826,2.1426332443947147,0.0,0.02088566241684174
-64.96553898343927,-2.6735842577383604,-0.06597021708734019,0.020552890964418074
-58.77834479454028,-7.5220471497120265,-0.615866363322283,0.01916413339085586
-52.591150605641324,-12.404116240363967,-1.642040959143202,0.017045387014395175
-46.40395641674233,-17.32166056902852,-3.1270522001575785,0.014590473239485448
-40.21676222784335,-22.276375407558955,-5.045503810266496,0.012133538356483647
-34.02956803894439,-27.269100262349994,-7.365884894788877,0.009892655044570061
-27.8423738500454,-32.299136876360414,-10.052409793585355,0.007976751719587465
-21.655179661146413,-37.36356723113535,-13.06685793418265,0.006420272379720269
-15.467985472247458,-42.45657154882875,-16.370413684897898,0.005218555378316744
-9.280791283348467,-47.56874629422604,-19.9255062079624,0.004353444812884117
-3.0935970944494766,-52.68642217676639,-23.697649312646007,0.0038087841579436256
3.0935970944494766,-57.79098268210956,-27.65728039894671,0.0035768113232728916
9.280791283348467,-62.85830810571303,-31.781383865272574,0.003620292185383983
15.467985472247458,-67.8591102799999,-36.05358484707233,0.0038772322093787114
21.655179661146413,-72.76015799511836,-40.46271328641666,0.004299842854445388
27.8423738500454,-77.52562792171105,-45.001152465570954,0.00484985121747679
34.02956803894439,-82.1184560632289,-49.6631866311329,0.005493171663960897
40.21676222784335,-86.5016892082448,-54.4433486181716,0.006195743441323543
46.403956416742375,-90.63983638276761,-59.33476747436555,0.006920571133220592
52.591150605641324,-94.50022030255568,-64.32751608414023,0.00762622308836665
58.77834479454028,-98.05432882543089,-69.40695879280744,0.008267036909507261
64.9655389834393,-101.27916640359236,-74.55209903070266,0.008794871988266175
71.15273317233826,-104.15860553593015,-79.73392693732356,0.009161315756335633
77.33992736123722,-106.6847382195875,-84.91376698688737,0.009317818333789496
83.52712155013624,-108.85918301853287,-90.04170939326913,0.009246255983340076
89.7143157390352,-110.69359113052869,-95.05655352255165,0.009013762114827309
95.90150992793414,-112.20854966761553,-99.88877679935176,0.008680047961586468
102.08870411683317,-113.43198991324863,-104.4644380420736,0.008269593585880272
108.27589830573213,-114.39758294550758,-108.7091046465454,0.007752970333872985
114.46309249463108,-115.14313526030683,-112.55177976965648,0.006998258024119452
120.65028668353011,-115.70898439460551,-115.92882951299356,0.0056282553110056956
126.83748087242907,-116.13639454961734,-118.7879101064775,0.0025547108998244888
133.02467506132803,-116.46595221402097,-121.09189509200002,-0.005808758643860278
139.21186925022704,-116.7359617871699,-122.8228025070603,-0.03433704875643121
145.399063439126,-116.98084120230247,-123.98572206840166,-0.17284679207143291
151.58625762802495,-117.22951754975199,-124.61274235564817,-1.3895050490226604
157.77345181692397,-117.50382938626082,-124.76684988088512,-4.146982112572418
163.96064600582292,-117.81735136943585,-124.5440523448766,-0.5450840967865568
170.14784019472188,-118.17597582422583,-124.06811425978873,-0.05724506240991305
