arclength,x,y,curvature
-192.3532634654517,116.20222781547517,-39.26879705994304,0.43468686265553236
-188.46733895099817,115.22879783188688,-38.181189694860336,0.05243592175077616
-184.58141443654458,113.51464462948283,-36.638478608991704,0.020993912382622174
-180.695489922091,111.22358535769172,-34.80089129737431,0.013162947901595938
-176.80956540763742,108.49415643032002,-32.79498543715957,0.010140710475476718
-172.92364089318386,105.44170287251372,-30.717327004251047,0.008633807619586587
-169.0377163787303,102.16046766772,-28.63816838994174,0.007697517586863305
-165.1517918642767,98.72568110464928,-26.605126517551696,0.0069652328261085115
-161.26586734982317,95.19565012423706,-24.646860959065634,0.006267247334855388
-157.37994283536958,91.61384766660552,-22.776752051770444,0.005528256904379541
-153.494018320916,88.01100201802578,-20.99657901489263,0.004739527265304265
-149.60809380646245,84.40718615787932,-19.300198066235964,0.003952523378035193
-145.72216929200886,80.81390710562009,-17.677220538819114,0.0032749674400495443
-141.8362447775553,77.23619409414364,-16.116687605113384,0.00285297867028916
-137.95032026310173,73.67455434575511,-14.61036229194275,0.0027389335774503547
-134.06439574864817,70.12621409527875,-13.15395542315477,0.0028977220449561804
-130.1784712341946,66.58579124205252,-11.746708622691074,0.003284282754706489
-126.29254671974101,63.045908066826726,-10.390804068631013,0.0038451059038494438
-122.40662220528745,59.497803857404705,-9.090773983442858,0.004519418775306151
-118.52069769083388,55.93194753428256,-7.852910124235194,0.005241876664084742
-114.6347731763803,52.338650276289904,-6.68467327300732,0.005946472926090526
-110.74884866192674,48.70867814622988,-5.594102726900758,0.0065711757886788265
-106.86292414747318,45.033864716519425,-4.589225788450193,0.007062590580986062
-102.9769996330196,41.30772369482969,-3.6774672558343866,0.00737977881815786
-99.09107511856602,37.52606154972624,-2.865058913127342,0.007496342023102168
-95.20515060411245,33.68759012532423,-2.156449028894457,0.007400290707677291
-91.3192260896589,29.79450499361344,-1.553737882803631,0.007114458915104274
-87.43330157520532,25.85262095600237,-1.0564497120567466,0.006705188087501589
-83.54737706075174,21.87080610631162,-0.6618375186420451,0.006229625504820879
-79.66145254629818,17.86024728443447,-0.3653159637973715,0.005730505347096162
-75.77552803184462,13.833712860633613,-0.16089629030486208,0.00523862806245327
-71.88960351739104,9.804815519837721,-0.04162124478685314,0.004776009089562145
-68.00367900293747,5.787275045938272,0.0,0.004359048445950866
-64.1177544884839,1.7941811060861577,-0.02844307713115768,0.004001385451440505
-60.23182997403032,-2.162743965011627,-0.11969726809192593,0.003716271218137993
-56.34590545957676,-6.073882380795282,-0.267280557814189,0.003518308106115921
-52.45998094512319,-9.932458118555571,-0.46591704654483124,0.0034242826056421986
-48.574056430669614,-13.73527413513708,-0.7119718721410493,0.0034525870686119282
-44.688131916216044,-17.483441751494905,-1.0038823823681753,0.003614789481834708
-40.80220740176249,-21.1828031967393,-1.3424423745536274,0.00388443112294818
-36.91628288730891,-24.843360664038972,-1.7306105967620056,0.00421772317841071
-33.03035837285534,-28.478208865211307,-2.173081495975026,0.004567253759331793
-29.14443385840176,-32.10244007449037,-2.6758427925292665,0.004886760254976751
-25.258509343948187,-35.732049171828876,-3.2457330543312537,0.005137761184695034
-21.37258482949463,-39.382838686200216,-3.8899992710726963,0.005295661012971607
-17.48666031504104,-43.069323838900495,-4.615854428444919,0.005353120725449054
-13.600735800587483,-46.80363758685039,-5.430035082353896,0.005319689866073794
-9.714811286133926,-50.59443566589737,-6.3383589331352255,0.005218288390322528
-5.828886771680334,-54.445801634117615,-7.345282399768877,0.005080269385108632
-1.942962257226778,-58.35615191511785,-8.453458194094253,0.0049410473949526796
1.942962257226815,-62.31714153528679,-9.663293083606249,0.004837685269280635
5.828886771680371,-66.31273432698757,-10.972550348018473,0.004803867766878164
9.714811286133926,-70.3194403541721,-12.376269429565127,0.004863705682404407
13.60073580058752,-74.30772056041624,-13.86700277704233,0.005036939078754149
17.486660315041075,-78.24355588289654,-15.435097383615414,0.0053445930687473124
21.37258482949463,-82.09001706031677,-17.068976513208526,0.0058136063045786035
25.258509343948223,-85.80883444083355,-18.755421426893605,0.006481089029075928
29.14443385840178,-89.36196778998266,-20.47985310927959,0.007398690923936151
33.030358372855375,-92.71317609860508,-22.226613994901697,0.008637099832167679
36.91628288730893,-95.82958739077303,-23.979249694610218,0.01028957486232708
40.80220740176249,-98.68326853171607,-25.72079072196027,0.012470694617805318
44.68813191621608,-101.25279503574716,-27.434034219600562,0.015300042395696774
48.574056430669636,-103.52482087337378,-29.10182568568976,0.018846253655395544
52.45998094512323,-105.4956001660148,-30.70734230584091,0.02307230615161209
56.345905459576784,-107.17164057271813,-32.23440526081248,0.027928351173588575
60.23182997403034,-108.56861921178684,-33.667850014029256,0.03320120901639748
64.11775448848393,-109.70976196333822,-34.993914506272574,0.03833143649213069
68.00367900293749,-110.62420907633638,-36.200627807394795,0.04213553776186829
71.88960351739108,-111.34538077562448,-37.27819876803426,0.042277417967269616
75.77552803184463,-111.90934286895686,-38.2194046713299,0.03414170010508379
79.6614525462982,-112.3531723540314,-39.019979884636186,0.008275266379276681
83.54737706075178,-112.71332302552183,-39.67900451123779,-0.0550989617311583
87.43330157520533,-113.02399108211,-40.19929304206421,-0.19363180607560357
91.31922608965893,-113.31548073351809,-40.58778300740465,-0.4454748319684705
95.20515060411249,-113.61256980754096,-40.855923628622776,-0.71393359716345
99.09107511856604,-113.93288211518376,-41.02006033814611,-0.70396744283602
102.97699963301963,-114.28568668888389,-41.101558320637125,-0.44071946659602385
106.8629241474732,-114.67247287283594,-41.125840345554295,-0.18375184915158654
