disc,arclength,x,y,curvature,devstage,genotype,crosssection
20210125_ecadGFPnbG4_upcrawling_disc1,-120.7593631597752,46.819411474790165,-82.02081864419375,-0.06628706343767989,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-115.60362275017475,49.56174031001885,-77.49824735150015,-0.021217113716803845,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-110.4478823405743,52.704016391412566,-73.47674516046362,0.016200083287165434,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-105.29214193097386,55.517733658204776,-69.27284310360352,0.033589375928850515,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-100.1364015213734,57.620203513067764,-64.63707960929248,0.03556388381891298,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-94.98066111177295,58.880765126670404,-59.61302794922205,0.030755580104419013,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-89.8249207021725,59.3269957919881,-54.39632377373259,0.026216658282570297,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-84.66918029257205,59.05247543159137,-49.19643734981963,0.02387497092589261,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-79.5134398829716,58.15113366759641,-44.145391776713375,0.022317320587820273,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-74.35769947337114,56.70287827427113,-39.29704638400595,0.02051640491509173,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-69.20195906377069,54.77446521887455,-34.653297446535554,0.018222552963470934,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-64.04621865417025,52.42073173441208,-30.19092002963862,0.01587746417086991,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-58.89047824456979,49.68582941803248,-25.888409104058542,0.014307550264462043,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-53.73473783496934,46.60450253135361,-21.751533188287386,0.014076182732728145,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-48.5789974253689,43.20389569738581,-17.823809351264902,0.015023699245339677,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-43.42325701576844,39.506141896656814,-14.17475319411792,0.016801046837287132,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-38.26751660616799,35.53112364687305,-10.88319609877457,0.018899316378455863,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-33.11177619656753,31.29923650241239,-8.020536401527545,0.02054294864202146,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-27.956035786967078,26.83415182419646,-5.633994765409128,0.020719797670681515,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-22.800295377366638,22.165294886253687,-3.7315077291105347,0.019016472402304533,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-17.644554967766183,17.32796991328567,-2.2801626654104576,0.016062205873582994,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-12.488814558165728,12.360826085872013,-1.2199349029273006,0.012728222830851461,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-7.333074148565288,7.302889178252525,-0.4799245396167696,0.009797403439707801,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,-2.1773337389648333,2.190590402125144,0.005390664948263235,0.007894517060091998,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,2.9784066706356214,-2.9452001969326727,0.2799175280587527,0.0075356806065713785,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,8.134147080236062,-8.081475984157375,0.35191769622350855,0.008687501547776135,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,13.28988748983653,-13.201424913719086,0.19317583959763998,0.010893317986453014,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,18.44562789943697,-18.28931643515038,-0.2503850278807479,0.013684874759742446,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,23.60136830903741,-23.324982221624072,-1.0467382848027276,0.01658537648756571,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,28.75710871863788,-28.27829594769882,-2.2657852794830697,0.01916575736931844,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,33.91284912823832,-33.103668232615846,-3.967403049121328,0.021183872514815082,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,39.06858953783879,-37.735826765229,-6.190859965435417,0.022776094439099854,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,44.22432994743923,-42.09173225842656,-8.950762257625149,0.02418751159645578,wL3,ecadGFPnbG4,Across_DV
20210125_ecadGFPnbG4_upcrawling_disc1,49.38007035703967,-46.07687733569947,-12.237665657179795,0.025578442500631297,wL3,ecadGFPnbG4,Across_DV
