disc,arclength,x,y,curvature,devstage,genotype,thickness,crosssection
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,57.178190897039116,-53.41662981307493,-17.222900507721,0.01287642432867647,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,59.2110722282321,-54.97864512256034,-18.524093273172358,0.012878681334407397,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,61.24395355942508,-56.506028179152864,-19.865707400103656,0.012887015873615734,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,63.27683489061806,-57.99770158707943,-21.24683845520228,0.012903608614909164,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,65.30971622181104,-59.45260324245807,-22.6665921983786,0.012930251181252746,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.1_genotype_ecadGFPnbG4myoVI,67.34259755300403,-60.869685643478846,-24.124098655503502,0.01296830703767438,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-58.69604498096071,53.35276246660511,-22.518276502733155,0.0130206715401642,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-56.663163649767725,51.89065500967472,-21.105798621461886,0.012924376109446314,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-54.63028231857475,50.39195009820869,-19.73224584254416,0.012868450112447824,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-52.59740098738177,48.857846491603,-18.39839560213641,0.012842457477067937,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-50.56451965618879,47.28946375550282,-17.105071150611533,0.01283619540926797,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-48.53163832499581,45.68787849750605,-15.853120186602546,0.01283982425267385,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-46.49875699380283,44.054160280842346,-14.643393646091381,0.01284549484777684,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-44.46587566260985,42.38939927180215,-13.47672847144613,0.012851626428507455,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-42.43299433141687,40.69471307090539,-12.35394040285589,0.012858062595524352,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-40.4001130002239,38.97124540915291,-11.27582068648135,0.012864556555265068,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-38.367231669030915,37.22016453538752,-10.243132931326846,0.012870775915387116,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-36.33435033783793,35.44266160365484,-9.256609966112435,0.012876308000767264,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-34.30146900664495,33.639949060564206,-8.316950696145906,0.012880665698271421,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-32.268587675451975,31.813259032649665,-7.424816960194858,0.012883293859193803,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-30.235706344258993,29.963841719112853,-6.580830442695103,0.012883792587968413,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-28.202825013066015,28.092963906740824,-5.785570842104444,0.01288249860876715,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-26.169943681873036,26.201907769344263,-5.039576964569712,0.012879948799816725,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-24.137062350680054,24.29196976995099,-4.343348874077056,0.012876714714526245,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-22.10418101948708,22.364459566430245,-3.697350077875303,0.012873394562485173,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-20.071299688294097,20.42069891711684,-3.1020097118992824,0.01287060510209979,wL3,ecadGFPnbG4,0.05,Across_DV
wd_thickness_0.05_nb_iterations_2_dt_0.01_tol_by_dt_1e-07_angle_of_rotation_0.2_genotype_ecadGFPnbG4myoVI,-18.038418357101122,18.462020586435447,-2.5577247261931984,0.012868973504710805,wL3,ecadGFPnbG4,0.05,Across_DV
